state,declaration_type,declaration_date,incident_type,declaration_title,ih_program_declared,ia_program_declared,pa_program_declared,hm_program_declared,incident_begin_date,incident_end_date,country_name,designated_area,declaration_request_number,deaths,incident_duration
Indiana,Velika katastrofa,2005-01-21,Severe Storm,Severe Winter Storms And Flooding,1,1,0,1,2005-01-01,2005-02-11,Cass County (Indiana),Cass (County),5007,4660,3
North Carolina,Upravljanje hitnim situacijama,2020-08-02,Hurricane,Hurricane Isaias,0,0,1,0,2020-07-31,2020-08-04,Madison County (North Carolina),Madison (County),20220,858,13
Washington,Velika katastrofa,2007-12-08,Severe Storm,"Severe Storms, Flooding, Landslides, And Mudslides",1,1,1,1,2007-12-01,2007-12-17,Clallam County,Clallam (County),7929,4945,16
Pennsylvania,Upravljanje hitnim situacijama,2005-09-10,Hurricane,Hurricane Katrina,0,0,1,0,2005-08-29,2005-10-01,Lebanon County,Lebanon (County),5101,4974,11
Ohio,Upravljanje hitnim situacijama,2012-06-30,Severe Storm,Severe Storms,0,0,1,0,2012-06-29,2012-07-02,Vinton County,Vinton (County),12043,9351,9
Florida,Velika katastrofa,2004-09-04,Hurricane,Hurricane Frances,0,0,1,1,2004-09-03,2004-10-08,Liberty County (Florida),Liberty (County),4097,2612,17
Oklahoma,Velika katastrofa,2007-06-07,Severe Storm,"Severe Storms, Tornadoes And Flooding",0,0,1,1,2007-05-04,2007-05-11,Dewey County (Oklahoma),Dewey (County),7843,2995,12
Nebraska,Velika katastrofa,2008-06-20,Severe Storm,"Severe Storms, Tornadoes, And Flooding",1,1,1,1,2008-05-22,2008-06-24,Custer County (Nebraska),Custer (County),8092,114,6
Missouri,Velika katastrofa,2003-05-06,Severe Storm,"Severe Storms, Tornadoes, And Flooding",1,1,0,1,2003-05-04,2003-05-30,Morgan County (Missouri),Morgan (County),3037,2173,12
Rhode Island,Velika katastrofa,1991-08-26,Hurricane,Hurricane Bob,0,1,1,0,1991-08-19,1991-08-19,Providence County,"Providence (County)(in PMSA 6060,6480)",91038,3312,6
Idaho,Upravljanje požarom,2021-08-13,Fire,Bedrock Fire,0,0,1,1,2021-08-12,2021-08-17,Idaho,Nez Perce Indian Reservation,21065,4607,9
Texas,Upravljanje hitnim situacijama,2021-02-14,Severe Ice Storm,Severe Winter Storm,0,0,1,0,2021-02-11,2021-02-21,Jones County (Texas),Jones (County),21009,9552,20
North Dakota,Velika katastrofa,1993-07-26,Flood,Severe Storms & Flooding,0,1,1,0,1993-06-22,1993-09-24,Barnes County,Barnes (County),93036,8717,4
Kentucky,Velika katastrofa,1972-05-15,Flood,Heavy Rains & Flooding,0,1,1,0,1972-05-15,1972-05-15,Madison County (Kentucky),Madison (County),72025,7335,6
